2023 Ranking,Country,Total
1,United States of America,84.79617127
2,Singapore,81.97096482
3,United Kingdom of Great Britain and Northern Ireland,78.57223041
4,Finland,77.36514132
5,Canada,77.0688933
6,France,76.0747579
7,Republic of Korea,75.64511212
8,Germany,75.26152044
9,Japan,75.07579217
10,Netherlands,74.46899594
11,Denmark,73.91202307
12,Australia,73.8886426
13,Norway,72.71208818
14,Sweden,72.55428782
15,Austria,72.36579509
16,China,70.94344937
17,Estonia,70.86482958
18,United Arab Emirates,70.42303308
19,Taiwan,70.25307405
20,Ireland,69.82192222
21,Iceland,69.5940496
22,Luxembourg,69.40775632
23,Malaysia,68.7072292
24,Switzerland,68.5683896
25,Portugal,68.28168555
26,Italy,67.62584509
27,Spain,67.47437476
28,Belgium,67.28440384
29,Saudi Arabia,67.04188134
30,Israel,65.4642356
31,Czechia,65.17046981
32,Brazil,63.69915943
33,Malta,63.64436289
34,Qatar,63.586363
35,Lithuania,63.33225365
36,Poland,63.09568429
37,Thailand,63.03262655
38,Russian Federation,62.92297762
39,Slovenia,62.63475187
40,India,62.57800735
41,Chile,61.94839002
42,Indonesia,61.03492368
43,Cyprus,60.84003033
44,Slovakia,60.73476979
45,Hungary,60.66027035
46,Uruguay,60.57175304
47,Türkiye,60.50820969
48,Latvia,60.30099482
49,New Zealand,60.18468167
50,Oman,58.93723222
51,Bulgaria,58.64499758
52,Greece,57.94965354
53,Colombia,57.85276011
54,Argentina,57.72417372
55,Jordan,56.8468117
56,Bahrain,56.13114214
57,Serbia,55.57212047
58,Peru,54.8722902
59,Viet Nam,54.48001397
60,Ukraine,53.28654288
61,Mauritius,53.2671014
62,Egypt,52.6929229
63,Liechtenstein,52.63448412
64,Romania,52.31981092
65,Philippines,51.97820876
66,Dominican Republic,50.71305278
67,Monaco,50.50433586
68,Mexico,50.37334308
69,Kuwait,49.85706104
70,Croatia,49.34199305
71,Costa Rica,49.12279778
72,Kazakhstan,48.55608275
73,Azerbaijan,48.15205153
74,Brunei Darussalam,48.09942959
75,San Marino,48.08421492
76,Lebanon,47.61870616
77,South Africa,47.27824677
78,Montenegro,47.1475604
79,Nauru,46.74580573
80,Andorra,46.25424863
81,Tunisia,46.07375273
82,Bangladesh,46.04283084
83,North Macedonia,45.40465829
84,Rwanda,45.38673728
85,Armenia,45.21531546
86,Panama,43.91332742
87,Uzbekistan,43.78954115
88,Morocco,43.33900818
89,Albania,43.26239362
90,Republic of Moldova,42.97129514
91,Senegal,42.58345092
92,Pakistan,42.20012541
93,Bahamas,42.14236214
94,Iran (Islamic Republic of),42.07324885
95,Sri Lanka,41.8893437
96,Fiji,41.56883237
97,Benin,41.37191592
98,Jamaica,41.31633222
99,Georgia,41.26650193
100,Ecuador,40.83861731
101,Kenya,40.18580433
102,Barbados,40.13321614
103,Nigeria,39.87877496
104,Trinidad and Tobago,39.44275869
105,Antigua and Barbuda,39.41080516
106,Saint Kitts and Nevis,39.23383354
107,Belarus,39.20286213
108,Tonga,39.00745952
109,Mongolia,38.98928752
110,Botswana,38.83923461
111,Tajikistan,38.78247405
112,Seychelles,38.10561952
113,Tuvalu,37.45304448
114,Bhutan,36.87905685
115,Paraguay,36.85412454
116,Guyana,36.7932748
117,Bosnia and Herzegovina,36.48814846
118,Saint Lucia,36.46491071
119,Cabo Verde,36.29975864
120,Algeria,35.98810889
121,Guatemala,35.75753858
122,Marshall Islands,35.70297129
123,Cuba,35.52053817
124,Suriname,35.51765043
125,Namibia,35.3730031
126,Bolivia (Plurinational State of),35.25033938
127,Dominica,34.81908485
128,Grenada,34.63095618
129,Belize,34.2435614
130,Saint Vincent and the Grenadines,34.13221331
131,Kyrgyzstan,34.09800116
132,Uganda,33.43858135
133,Iraq,33.39561913
134,State of Palestine,33.13922995
135,Gabon,33.09015799
136,Lao People's Democratic Republic,33.05352563
137,United Republic of Tanzania,32.86338241
138,Côte D'Ivoire,32.78138909
139,Honduras,32.63199659
140,Ethiopia,32.58526198
141,Ghana,32.58404214
142,El Salvador,32.57680248
143,Zambia,32.3597691
144,Vanuatu,31.9130512
145,Cambodia,31.87722576
146,Maldives,31.71139837
147,Samoa,31.6611872
148,Turkmenistan,31.16754399
149,Myanmar,30.91231228
150,Nepal,30.76702139
151,Zimbabwe,30.70795467
152,Papua New Guinea,30.40577065
153,Cameroon,30.27139432
154,Gambia (Republic of The),30.25153776
155,Djibouti,29.94791011
156,Nicaragua,29.77142753
157,Timor-Leste,29.76966296
158,Togo,29.685532
159,"Venezuela, Bolivarian Republic of",29.20001625
160,Angola,29.14025605
161,Solomon Islands,29.08793384
162,Madagascar,28.47313128
163,Equatorial Guinea,28.04104529
164,Burkina Faso,27.49699619
165,Mali,27.44682921
166,Guinea,27.44381327
167,Kiribati,27.40464502
168,Mauritania,27.09355128
169,Eswatini,27.05304403
170,Sao Tome and Principe,26.86146681
171,Lesotho,26.20904086
172,Mozambique,25.62313593
173,Libya,25.31129372
174,Malawi,24.8675796
175,Sierra Leone,24.82502865
176,Niger,24.70831185
177,Sudan,24.51062958
178,Congo,24.19288771
179,Guinea Bissau,24.11485899
180,Chad,23.43794877
181,Comoros,22.61922755
182,Liberia,22.24370998
183,Somalia,21.97865144
184,Haiti,21.97179066
185,Democratic Republic of the Congo,21.46831729
186,Afghanistan,21.26871333
187,Burundi,20.87315154
188,Yemen,19.88707052
189,Central African Republic,19.73651251
190,Eritrea,19.6242147
191,South Sudan,18.25739575
192,Syrian Arab Republic,18.12073889
193,Democratic People's Republic of Korea,9.197129779
