Rank,Country,2024 Total
1,United States of America,87.03218182
2,Singapore,84.24944106
3,Republic of Korea,79.97780202
4,France,79.35754271
5,United Kingdom of Great Britain and Northern Ireland,78.88344052
6,Canada,78.17529665
7,Netherlands,77.22980432
8,Germany,76.89826844
9,Finland,76.48471791
10,Australia,76.44726827
11,Norway,76.11968176
12,Japan,75.74917653
13,United Arab Emirates,75.65804571
14,Sweden,75.40286681
15,Denmark,74.71009478
16,Taiwan,74.58025606
17,Israel,74.52155598
18,Ireland,73.18014934
19,Austria,72.83567415
20,Belgium,72.68793041
21,Estonia,72.61871555
22,Saudi Arabia,72.35591144
23,China,72.0098981
24,Malaysia,71.39992403
25,Italy,71.21652388
26,Portugal,70.92843933
27,Luxembourg,70.62575172
28,Czechia,70.23281209
29,Iceland,69.82023722
30,Switzerland,69.41989807
31,Spain,69.25248467
32,Qatar,68.22070132
33,Lithuania,67.79802914
34,Poland,67.51119621
35,Thailand,66.16948723
36,Brazil,65.88947723
37,Slovenia,65.85327433
38,Indonesia,65.85124932
39,Russian Federation,64.71707681
40,New Zealand,63.98217071
41,Slovakia,63.69003612
42,Malta,63.64342039
43,Hungary,63.63204457
44,Chile,63.19327114
45,Oman,62.91022757
46,India,62.80654813
47,Uruguay,62.20915139
48,Latvia,61.87089556
49,Jordan,61.56757258
50,Cyprus,61.50126092
51,Viet Nam,61.41545515
52,Bulgaria,60.63955798
53,Türkiye,60.62787606
54,Ukraine,60.57013332
55,Colombia,59.33330773
56,Philippines,58.50707886
57,Serbia,58.48610163
58,Romania,58.0818462
59,Greece,57.69792651
60,Peru,57.11155994
61,Costa Rica,56.85007591
62,Argentina,56.40407736
63,Republic of Moldova,56.03414931
64,Liechtenstein,55.90597714
65,Egypt,55.62588551
66,Brunei Darussalam,55.44955575
67,Andorra,54.4360374
68,Bahrain,54.32835116
69,Mauritius,53.94349686
70,Uzbekistan,53.45247202
71,Mexico,53.28576348
72,South Africa,52.91180045
73,Dominican Republic,52.69157831
74,Croatia,51.62288743
75,San Marino,51.59379335
76,Kazakhstan,51.40653433
77,Kuwait,51.25970098
78,Rwanda,51.25257164
79,Montenegro,47.42969132
80,Bangladesh,47.11916395
81,Georgia,46.91902495
82,Lebanon,46.66806935
83,Senegal,46.10767554
84,Albania,45.46622776
85,Sri Lanka,45.29464691
86,North Macedonia,45.12278472
87,Seychelles,44.76984511
88,Armenia,44.51279855
89,Panama,44.38966066
90,Fiji,44.21900038
91,Iran (Islamic Republic of),43.88147313
92,Tunisia,43.67929184
93,Kenya,43.55729827
94,Nigeria,43.32516864
95,Ghana,43.30178073
96,Benin,42.96796567
97,Cuba,42.43439145
98,Mongolia,42.36130396
99,Bahamas,42.03231259
100,Zambia,41.87395066
101,Morocco,41.77772556
102,Saint Kitts and Nevis,41.61719413
103,Antigua and Barbuda,41.61237893
104,Ecuador,41.45594571
105,Mauritania,41.39992651
106,Barbados,41.10918269
107,Iraq,40.90613432
108,Cabo Verde,40.67090537
109,Pakistan,40.47235612
110,Trinidad and Tobago,40.13955078
111,Azerbaijan,39.92386783
112,Paraguay,39.53861042
113,Belarus,39.23880845
114,Saint Lucia,39.10720613
115,Algeria,39.05673544
116,Vanuatu,39.03768065
117,Bhutan,38.77536479
118,Tonga,38.63065051
119,Ethiopia,38.33624612
120,Botswana,38.16381779
121,Grenada,37.96322567
122,Jamaica,37.79095056
123,Marshall Islands,37.62419653
124,Belize,37.58701156
125,State of Palestine,37.53267308
126,Guyana,37.23458971
127,Samoa,37.16037622
128,Bosnia and Herzegovina,37.01680441
129,Suriname,36.87352519
130,Papua New Guinea,36.84643455
131,Tajikistan,36.71542489
132,Saint Vincent and the Grenadines,36.6544747
133,Cambodia,36.6318842
134,Kyrgyzstan,36.55450391
135,Guatemala,36.4144385
136,Eswatini,36.2250206
137,Lao People's Democratic Republic,36.08236849
138,Djibouti,35.1933629
139,United Republic of Tanzania,35.08105029
140,Côte d'Ivoire,34.68702416
141,Uganda,34.63065106
142,Kiribati,34.45338779
143,Myanmar,34.25868139
144,Gabon,34.14729966
145,El Salvador,34.08661079
146,Timor-Leste,33.67769811
147,Cameroon,33.45955988
148,Namibia,33.28224969
149,Libya,33.24991869
150,Nepal,33.1391886
151,Bolivia (Plurinational State of),33.07863133
152,Solomon Islands,32.7081543
153,Turkmenistan,32.63799295
154,Zimbabwe,32.59211942
155,Mali,32.26614045
156,Maldives,31.43166425
157,Togo,31.31565682
158,Guinea,30.21187153
159,Honduras,29.83450267
160,Sao Tome and Principe,29.63431198
161,Malawi,29.31673864
162,Burkina Faso,29.27660868
163,"Venezuela, Bolivarian Republic of",29.20533246
164,Madagascar,28.80438299
165,Nicaragua,28.53113047
166,Lesotho,28.21246421
167,Equatorial Guinea,27.09253188
168,Gambia (Republic of The),26.94732127
169,Angola,26.90798042
170,Comoros,26.64694936
171,Niger,25.74480776
172,Guinea Bissau,25.70947239
173,Sierra Leone,25.33586896
174,Somalia,25.32030544
175,Congo,25.11623832
176,Sudan,24.62888147
177,Mozambique,24.22293552
178,Liberia,23.12197991
179,Chad,22.65971835
180,Eritrea,22.19695954
181,Democratic Republic of the Congo,22.09794558
182,Burundi,21.13442437
183,Central African Republic,20.26173459
184,Haiti,20.05762277
185,South Sudan,18.58058996
186,Syrian Arab Republic,16.94502678
187,Afghanistan,16.92451775
188,Yemen,14.62247898
