Rank,Country,Total Score
188,Afghanistan,15.72
85,Albania,43.44
89,Algeria,42.05
92,Andorra,41.51
141,Angola,27.09
147,Antigua and Barbuda,25.04
56,Argentina,58.25
103,Armenia,38.95
9,Australia,75.73
20,Austria,69.72
69,Azerbaijan,51.91
123,Bahamas,31.18
48,Bahrain,59.57
75,Bangladesh,48.37
155,Barbados,23.33
121,Belarus,32.47
30,Belgium,65.17
158,Belize,22.68
90,Benin,41.71
101,Bhutan,39.38
139,Bolivia (Plurinational State of),27.48
114,Bosnia and Herzegovina,35.67
109,Botswana,37.1
22,Brazil,69.55
97,Brunei Darussalam,40.51
59,Bulgaria,56.6
127,Burkina Faso,29.45
185,Burundi,17.22
122,Cabo Verde,32.16
118,Cambodia,33.91
116,Cameroon,34.91
12,Canada,74.66
192,Central African Republic,12.8
182,Chad,18.31
50,Chile,59.3
8,China,76.27
64,Colombia,56.02
171,Comoros,20.67
178,Congo,18.6
79,Costa Rica,45.92
95,Côte D'Ivoire,40.74
72,Croatia,49.79
136,Cuba,27.92
47,Cyprus,59.71
32,Czechia,64.56
167,Democratic People's Republic of Korea,21.15
144,Democratic Republic of the Congo,25.62
11,Denmark,74.75
148,Djibouti,24.52
174,Dominica,19.76
84,Dominican Republic,43.73
66,Ecuador,53.04
52,Egypt,59.1
104,El Salvador,38.88
187,Equatorial Guinea,16.18
193,Eritrea,12.7
21,Estonia,69.56
137,Eswatini,27.7
91,Ethiopia,41.58
108,Fiji,37.26
18,Finland,70.3
2,France,80.81
133,Gabon,28.41
153,Gambia (Republic of The),23.64
87,Georgia,42.75
6,Germany,76.78
78,Ghana,47.42
42,Greece,60.51
176,Grenada,19.36
129,Guatemala,29.34
183,Guinea,17.81
195,Guinea Bissau,12.12
146,Guyana,25.47
190,Haiti,14.94
157,Honduras,22.96
35,Hungary,63.17
44,Iceland,60.49
27,India,66.55
46,Indonesia,59.87
76,Iran (Islamic Republic of),48.34
128,Iraq,29.37
17,Ireland,70.58
16,Israel,71.32
25,Italy,68.81
99,Jamaica,40.09
14,Japan,72.24
63,Jordan,56.07
58,Kazakhstan,56.7
68,Kenya,52.55
150,Kiribati,23.9
83,Kuwait,43.79
119,Kyrgyzstan,33.28
125,Lao People's Democratic Republic,29.92
51,Latvia,59.14
117,Lebanon,34.26
131,Lesotho,28.95
189,Liberia,15.65
134,Libya,28.38
98,Liechtenstein,40.19
29,Lithuania,65.31
33,Luxembourg,64.28
168,Madagascar,20.93
149,Malawi,24.22
38,Malaysia,62.34
143,Maldives,26.39
152,Mali,23.78
39,Malta,61.48
177,Marshall Islands,18.92
138,Mauritania,27.58
67,Mauritius,52.76
77,Mexico,48.33
172,Micronesia (Federated States of),20.6
105,Monaco,38.62
94,Mongolia,40.86
100,Montenegro,39.9
86,Morocco,43.06
161,Mozambique,22.31
173,Myanmar,20.54
110,Namibia,37.08
160,Nauru,22.48
106,Nepal,38.5
4,Netherlands,77.18
37,New Zealand,62.7
163,Nicaragua,22.23
184,Niger,17.44
70,Nigeria,50.79
107,North Macedonia,37.57
10,Norway,74.84
61,Oman,56.29
81,Pakistan,45.38
151,Palau,23.8
102,Panama,39.3
135,Papua New Guinea,27.98
111,Paraguay,36.84
60,Peru,56.52
43,Philippines,60.51
24,Poland,69.14
28,Portugal,66.09
54,Qatar,58.61
5,Republic of Korea,76.89
71,Republic of Moldova,50.59
57,Romania,56.73
49,Russian Federation,59.57
74,Rwanda,48.54
170,Saint Kitts and Nevis,20.85
142,Saint Lucia,26.66
166,Saint Vincent and the Grenadines,21.5
154,Samoa,23.46
112,San Marino,35.89
180,Sao Tome and Principe,18.37
15,Saudi Arabia,71.57
96,Senegal,40.64
40,Serbia,60.96
140,Seychelles,27.24
175,Sierra Leone,19.68
7,Singapore,76.42
73,Slovakia,48.55
36,Slovenia,62.71
162,Solomon Islands,22.28
164,Somalia,21.82
65,South Africa,53.94
194,South Sudan,12.2
13,Spain,74.22
80,Sri Lanka,45.6
115,State of Palestine,35.54
186,Sudan,16.21
181,Suriname,18.37
23,Sweden,69.45
26,Switzerland,66.95
165,Syrian Arab Republic,21.72
31,Taiwan,64.81
130,Tajikistan,29.08
34,Thailand,63.22
179,Timor-Leste,18.39
124,Togo,30.59
156,Tonga,23.11
120,Trinidad and Tobago,32.73
88,Tunisia,42.23
53,Türkiye,58.91
159,Turkmenistan,22.5
169,Tuvalu,20.87
113,Uganda,35.76
41,Ukraine,60.84
19,United Arab Emirates,69.86
3,United Kingdom of Great Britain and Northern Ireland,77.75
93,United Republic of Tanzania,41.45
1,United States of America,88.36
55,Uruguay,58.47
62,Uzbekistan,56.11
132,Vanuatu,28.55
145,"Venezuela, Bolivarian Republic of",25.55
45,Viet Nam,59.98
191,Yemen,14.48
82,Zambia,43.9
126,Zimbabwe,29.53
